secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,42,93,0.006,14.1984,0,220,-4,4.459,51.5876,0,-16.6667,13,0,47,0,0,0,0,0,0,0,0
2,47,93,0.01,16.0992,0,247,-4,4.45903,51.5876,0,0,13,0,47,0,0,0,0,0,0,0,0
3,55,94,0.015,16.4988,0,242,-4,4.45906,51.5875,0,0,13,0,48,0,0,0,0,0,0,0,0
4,57,95,0.02,17.1972,0,178,-4,4.45909,51.5875,0,0,13,0,47,0,0,0,0,0,0,0,0
5,61,96,0.025,17.7984,0,138,-4,4.45912,51.5874,0,0,13,0,49,0,0,0,0,0,0,0,0
6,63,98,0.03,18.3996,0,69,-4,4.45915,51.5874,0,0,13,0,56,0,0,0,0,0,0,0,0
7,65,98,0.035,18.3996,0,69,-4,4.45918,51.5874,0,0,13,0,-255,0,0,0,0,0,0,0,0
8,65,99,0.039,16.6968,0,69,-4,4.4592,51.5873,0,0,13,0,-255,0,0,0,0,0,0,0,0
9,65,100,0.044,15.9984,0,69,-4,4.45924,51.5873,0,0,13,0,-255,0,0,0,0,0,0,0,0
10,65,100,0.048,15.7968,0,69,-4,4.45927,51.5873,0,-1.66667,13,0,-255,0,0,0,0,0,0,0,0
11,56,100,0.053,15.7968,0,268,-4,4.45931,51.5872,0,0,13,0,61,0,0,0,0,0,0,0,0
12,60,100,0.06,16.4988,0,363,-4,4.45936,51.5872,0,0,13,0,48,0,0,0,0,0,0,0,0
13,63,100,0.066,20.898,0,231,-4,4.45939,51.5871,0,0,13,0,64,0,0,0,0,0,0,0,0
14,62,100,0.072,22.0968,0,139,-4,4.45942,51.5871,0,0,13,0,57,0,0,0,0,0,0,0,0
15,84,100,0.08,24.498,0,202,-4,4.45945,51.587,0,0,13,0,44,0,0,0,0,0,0,0,0
16,80,100,0.087,25.2,0,211,-4,4.45949,51.5869,0,0,13,0,44,0,0,0,0,0,0,0,0
17,77,100,0.094,25.4988,0,207,-4,4.45951,51.5869,0,0,13,0,43,0,0,0,0,0,0,0,0
18,77,100,0.102,25.6968,0,206,-4,4.45954,51.5868,0,0,13,0,46,0,0,0,0,0,0,0,0
19,77,100,0.109,25.9992,0,206,-4,4.45956,51.5867,0,0,13,0,46,0,0,0,0,0,0,0,0
20,79,100,0.117,26.1972,0,217,-4,4.45957,51.5867,0,0,13,0,47,0,0,0,0,0,0,0,0
21,80,100,0.124,25.9992,0,112,-4,4.45959,51.5866,0,0,13,0,49,0,0,0,0,0,0,0,0
22,81,100,0.131,25.2972,0,87,-4,4.4596,51.5865,0,0,13,0,47,0,0,0,0,0,0,0,0
23,85,100,0.138,24.3972,0,189,-4,4.4596,51.5865,0,0,13,0,47,0,0,0,0,0,0,0,0
24,82,101,0.146,24.3972,0,128,-4,4.4596,51.5864,0,0,13,0,34,0,0,0,0,0,0,0,0
25,82,101,0.153,24.3972,0,128,-5,4.45961,51.5863,0,-1.42857,13,0,34,0,0,0,0,0,0,0,0
26,82,102,0.16,24.6996,0,128,-5,4.45962,51.5863,0,-1.42857,13,0,34,0,0,0,0,0,0,0,0
27,0,103,0.167,24.3,0,0,-5,4.45962,51.5862,0,-1.42857,13,0,34,0,0,0,0,0,0,0,0
28,0,103,0.173,24.0984,0,0,-4,4.45962,51.5862,0,0.238095,13,0,34,0,0,0,0,0,0,0,0
29,0,103,0.18,23.2992,0,0,-4,4.45962,51.5861,0,0.238095,13,0,-255,0,0,0,0,0,0,0,0
30,0,105,0.187,22.9968,0,0,-4,4.45962,51.586,0,0.238095,13,0,-255,0,0,0,0,0,0,0,0
31,0,106,0.193,22.2984,0,0,-4,4.45963,51.586,0,0.238095,13,0,-255,0,0,0,0,0,0,0,0
32,0,106,0.199,22.1976,0,0,-4,4.45964,51.5859,0,0.238095,13,0,-255,0,0,0,0,0,0,0,0
33,57,107,0.205,21.6972,0,104,-5,4.45963,51.5859,0,-1.42857,13,0,6,0,0,0,0,0,0,0,0
34,58,107,0.211,21.3984,0,116,-5,4.45964,51.5858,0,-1.42857,13,0,30,0,0,0,0,0,0,0,0
35,56,108,0.218,20.898,0,50,-4,4.45964,51.5858,0,1.42857,13,0,46,0,0,0,0,0,0,0,0
36,54,108,0.224,20.898,0,50,-4,4.45964,51.5857,0,1.42857,13,0,-255,0,0,0,0,0,0,0,0
37,44,108,0.23,20.1996,0,121,-4,4.45966,51.5857,0,1.42857,13,0,24,0,0,0,0,0,0,0,0
38,44,108,0.236,20.1996,0,121,-4,4.45971,51.5856,0,-0.238095,13,0,24,0,0,0,0,0,0,0,0
39,57,108,0.243,21.6,0,258,-4,4.45975,51.5856,0,-0.238095,13,0,41,0,0,0,0,0,0,0,0
40,58,107,0.248,21.6,0,339,-4,4.45977,51.5855,0,-0.238095,13,0,43,0,0,0,0,0,0,0,0
41,64,107,0.255,22.5,0,340,-4,4.45981,51.5854,0,-0.238095,13,0,46,0,0,0,0,0,0,0,0
42,64,106,0.262,22.698,0,340,-4,4.45983,51.5854,0,-0.238095,13,0,46,0,0,0,0,0,0,0,0
43,69,105,0.269,23.8968,0,331,-4,4.45986,51.5853,0,1.42857,13,0,48,0,0,0,0,0,0,0,0
44,72,105,0.277,24.0984,0,309,-4,4.45988,51.5853,0,1.42857,13,0,51,0,0,0,0,0,0,0,0
45,75,105,0.285,25.4988,0,285,-4,4.45989,51.5852,0,0,13,0,50,0,0,0,0,0,0,0,0
46,75,105,0.292,25.4988,0,285,-4,4.45992,51.5851,0,0,13,0,50,0,0,0,0,0,0,0,0
47,75,107,0.299,26.6976,0,283,-4,4.45993,51.5851,0,0,13,0,51,0,0,0,0,0,0,0,0
48,78,109,0.308,26.7984,0,279,-4,4.45996,51.585,0,0,13,0,51,0,0,0,0,0,0,0,0
