secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,67,98,0,0,0,96,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
2,70,99,0,0,0,97,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
3,71,101,0,0,0,100,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
4,73,103,0,0,0,102,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
5,73,105,0,0,0,102,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
6,73,106,0,0,0,102,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
7,76,107,0,0,0,102,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
8,77,109,0,0,0,100,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
9,77,109,0,0,0,100,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
10,81,109,0,0,0,130,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
11,81,109,0,0,0,129,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
12,83,109,0,0,0,129,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
13,85,106,0,0,0,135,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
14,85,104,0,0,0,130,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
15,85,100,0,0,0,130,-8,4.47802,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
16,85,98,0,0,0,144,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
17,86,94,0,0,0,141,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
18,86,91,0,0,0,144,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
19,87,91,0,0,0,149,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
20,87,92,0,0,0,149,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
21,88,95,0,0,0,147,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
22,88,98,0,0,0,146,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
23,88,99,0,0,0,146,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
24,88,100,0,0,0,147,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
25,89,103,0,0,0,145,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
26,89,106,0,0,0,147,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
27,91,107,0,0,0,147,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
28,90,108,0,0,0,150,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
29,90,108,0,0,0,150,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
30,90,109,0,0,0,151,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
31,90,109,0,0,0,151,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
32,90,109,0,0,0,146,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
33,90,109,0,0,0,144,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
34,91,110,0,0,0,154,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
35,91,110,0,0,0,154,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
36,91,110,0,0,0,153,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
37,91,111,0,0,0,157,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
38,91,111,0,0,0,150,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
39,91,112,0,0,0,148,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
40,92,112,0,0,0,150,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
41,91,113,0,0,0,157,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
42,91,113,0,0,0,163,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
43,93,113,0,0,0,160,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
44,92,113,0,0,0,157,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
45,92,113,0,0,0,154,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
46,92,113,0,0,0,154,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
47,90,113,0,0,0,158,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
48,91,114,0,0,0,161,-8,4.47803,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
49,90,115,0,0,0,163,-8,4.47792,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
50,90,115,0,0,0,139,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
51,90,116,0,0,0,145,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
52,90,117,0,0,0,143,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
53,90,118,0,0,0,140,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
54,88,119,0,0,0,132,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
55,88,120,0,0,0,127,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
56,86,120,0,0,0,128,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
57,84,120,0,0,0,134,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
58,85,120,0,0,0,148,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
59,85,119,0,0,0,136,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
60,84,119,0,0,0,128,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
61,84,118,0,0,0,128,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
62,84,117,0,0,0,136,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
63,84,117,0,0,0,125,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
64,82,116,0,0,0,119,-8,4.47793,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
65,83,116,0,0,0,131,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
66,83,116,0,0,0,130,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
67,84,115,0,0,0,139,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
68,84,114,0,0,0,138,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
69,84,114,0,0,0,140,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
70,84,113,0,0,0,127,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
71,83,113,0,0,0,122,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
72,83,112,0,0,0,117,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
73,81,111,0,0,0,111,-9,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
74,82,111,0,0,0,124,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
75,83,111,0,0,0,139,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
76,84,111,0,0,0,148,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
77,85,111,0,0,0,153,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
78,85,111,0,0,0,141,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
79,86,111,0,0,0,143,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
80,86,111,0,0,0,139,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
81,86,111,0,0,0,138,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
82,87,111,0,0,0,135,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
83,86,111,0,0,0,144,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
84,87,111,0,0,0,141,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
85,85,111,0,0,0,134,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
86,85,112,0,0,0,138,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
87,84,112,0,0,0,127,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
88,84,112,0,0,0,127,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
89,84,111,0,0,0,134,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
90,84,111,0,0,0,138,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
91,85,110,0,0,0,149,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
92,85,109,0,0,0,143,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
93,84,108,0,0,0,136,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
94,84,107,0,0,0,120,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
95,84,107,0,0,0,126,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
96,85,107,0,0,0,136,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
97,84,107,0,0,0,137,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
98,87,106,0,0,0,143,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
99,86,106,0,0,0,137,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
100,86,106,0,0,0,141,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
101,87,105,0,0,0,151,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
102,88,105,0,0,0,146,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
103,88,105,0,0,0,149,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
104,89,105,0,0,0,148,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
105,88,105,0,0,0,145,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
106,88,106,0,0,0,139,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
107,87,107,0,0,0,141,-7,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
108,87,108,0,0,0,136,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
109,88,108,0,0,0,131,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
110,87,108,0,0,0,138,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
111,88,108,0,0,0,143,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
112,88,108,0,0,0,144,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
113,88,108,0,0,0,151,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
114,90,108,0,0,0,144,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
115,89,108,0,0,0,143,-8,4.47788,51.5455,0,0,15,0,-255,0,0,0,0,0,0,0,0
116,89,108,0,0,0,149,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
117,89,108,0,0,0,153,-8,4.478,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
118,89,109,0,0,0,149,-8,4.47801,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
119,88,108,0,0,0,138,-8,4.47802,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
120,88,108,0,0,0,129,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
121,87,108,0,0,0,119,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
122,86,107,0,0,0,138,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
123,87,107,0,0,0,145,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
124,86,107,0,0,0,144,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
125,87,107,0,0,0,148,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
126,87,107,0,0,0,148,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
127,86,108,0,0,0,142,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
128,85,108,0,0,0,135,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
129,85,108,0,0,0,142,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
130,86,108,0,0,0,139,-8,4.47804,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
131,86,108,0,0,0,134,-8,4.47797,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
132,86,108,0,0,0,137,-8,4.47798,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
133,86,109,0,0,0,160,-8,4.47799,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
134,88,109,0,0,0,152,-8,4.47799,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
135,88,109,0,0,0,145,-8,4.47799,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
136,87,110,0,0,0,147,-8,4.47799,51.5454,0,0,15,0,-255,0,0,0,0,0,0,0,0
