secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
1,0,0,0,0,0,0,63.8,0,0,0,0,16,0,-255,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,63.8,0,0,0,0,16,0,-255,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,63.8,0,0,0,0,16,0,-255,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,63.8,0,0,0,0,16,0,-255,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,63.8,0,0,0,0,16,0,-255,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,63.8,4.47822,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
10,73,0,0,0,0,116,63.8,4.47823,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
11,74,0,0,0,0,142,63.8,4.47824,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
12,76,0,8e-05,0,0,139,63.8,4.47824,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
13,76,0,0.00034,0,0,146,63.8,4.47824,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
14,77,0,0.00052,0,0,134,63.8,4.47824,51.5452,0,0,16,0,-255,0,0,0,0,0,0,0,0
15,76,0,0.00052,0,0,138,63.8,4.47824,51.5452,0,0,16,0,-255,72,0,18.5,0,0,0,0,0
16,77,0,0.00053,0,0,156,63.8,4.47824,51.5452,0,0,16,0,-255,72,0,18.5,0,0,0,0,0
17,79,0,0.00056,0,0,153,63.8,4.47824,51.5452,0,0,16,0,-255,80,0,21,0,0,0,0,0
18,80,0,0.00056,0,0,150,63.8,4.47824,51.5452,0,0,16,0,-255,80,0,21,0,0,0,0,0
19,80,0,0.00056,0,0,152,63.8,4.47824,51.5452,0,0,16,0,-255,79.5,0,20.5,0,0,0,0,0
20,80,0,0.00254,0,0,148,64,4.47822,51.5452,0,1.0101,16,0,-255,79.5,0,20.5,0,0,0,0,0
21,80,0,0.00385,0,0,146,63.8,4.47821,51.5453,0,-0.516617,16,0,-255,77,0,19.5,0,0,0,0,0
22,81,0,0.00465,0,0,143,63.8,4.47821,51.5453,0,-0.516617,16,0,-255,77,0,19.5,0,0,0,0,0
23,81,0,0.00514,0,0,149,64,4.4782,51.5453,0,-0.516617,17,0,-255,77,0,19.5,0,0,0,0,0
24,81,0,0.00544,0,0,156,64,4.4782,51.5453,0,-0.516617,17,0,-255,83.5,0,20,0,0,0,0,0
25,82,0,0.0058,0,0,151,64,4.4782,51.5453,0,-0.516617,17,0,-255,83.5,0,20,0,0,0,0,0
26,82,0,0.00597,0,0,149,64,4.4782,51.5453,0,-0.516617,17,0,-255,83.5,0,20,0,0,0,0,0
27,82,0,0.00617,0,0,165,64,4.47819,51.5453,0,-0.516617,17,0,-255,0,0,0,0,0,0,0,0
28,83,0,0.00635,0,0,165,64,4.47819,51.5453,0,-0.516617,17,0,-255,84,0,20.5,0,0,0,0,0
29,83,0,0.00654,0,0,157,64,4.47819,51.5453,0,-0.516617,17,0,-255,84,0,20.5,0,0,0,0,0
30,83,0,0.00669,0,0,159,64.2,4.47819,51.5453,0,-1.52672,17,0,-255,84,0,20.5,0,0,0,0,0
31,84,0,0.00686,0,0,167,64,4.47819,51.5453,0,0,17,0,-255,0,0,0,0,0,0,0,0
32,85,0,0.00699,0,0,167,64.2,4.47819,51.5453,0,0,17,0,-255,0,0,0,0,0,0,0,0
33,85,0,0.00722,0,0,165,64.2,4.47819,51.5453,0,0,17,0,-255,81,0,20.5,0,0,0,0,0
34,86,0,0.00739,0,0,170,64.2,4.47819,51.5453,0,0,17,0,-255,81,0,20.5,0,0,0,0,0
35,85,0,0.00753,0,0,164,64.4,4.47819,51.5453,0,0,17,0,-255,81,0,20.5,0,0,0,0,0
36,85,0,0.00763,0,0,158,64.2,4.47819,51.5453,0,0,17,0,-255,0,0,0,0,0,0,0,0
37,85,0,0.00777,0,0,158,64.4,4.47819,51.5453,0,0,17,0,-255,0,0,0,0,0,0,0,0
38,85,0,0.00786,0,0,156,64.4,4.47819,51.5453,0,0,17,0,-255,0,0,0,0,0,0,0,0
